CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1257	1686	12	0.8567	12.037
1484	1686	12	0.8369	-162.140
1269	1453	12	0.9302	15.995
299	1676	12	0.8893	-13.979
1269	1676	12	0.9001	13.981
1029	1101	14	0.9916	-0.000
740	1035	14	0.9924	0.000
1004	1126	14	0.9907	-0.000
1101	1168	14	0.9937	0.000
726	1645	14	0.9955	0.000
739	1029	14	0.9946	0.000
1004	1029	14	0.9919	0.000
1031	1101	14	0.9944	-0.000
1035	1645	14	0.9924	-0.000
1031	1168	14	0.9884	0.000
1029	1126	14	0.9911	-0.000
740	1126	14	0.9907	-0.000
726	1029	14	0.9929	0.001
1029	1035	14	0.9921	0.000
1029	1168	14	0.9918	0.000
740	1029	14	0.9926	0.000
740	1386	14	0.9984	-0.000
1386	1645	14	0.9967	-0.000
1029	1645	14	0.9935	-0.000
726	1004	14	0.994	0.000
726	740	14	0.9991	0.001
739	1645	14	0.9897	-0.000
1126	1645	14	0.9905	0.000
739	1165	14	0.9896	0.001
740	1101	14	0.9896	-0.000
740	1645	14	0.9951	-0.000
1168	1386	14	0.9928	-0.001
1035	1101	14	0.9899	-0.000
739	1168	14	0.9966	0.001
739	1101	14	0.9956	0.000
1004	1645	14	0.991	-0.000
726	1101	14	0.9913	0.000
740	1168	14	0.9909	0.000
726	1168	14	0.9916	0.001
1004	1101	14	0.9919	0.000
740	1004	14	0.9934	-0.000
1004	1168	14	0.9909	0.001
1165	1386	14	0.9905	-0.000
1165	1168	14	0.9862	0.000
1101	1645	14	0.9902	-0.000
726	1386	14	0.9988	0.000
1035	1386	14	0.9919	-0.000
1035	1165	14	0.9881	0.000
726	739	14	0.9912	0.000
1101	1386	14	0.9916	-0.000
1035	1126	14	0.9868	-0.000
739	1031	14	0.9925	0.001
739	1386	14	0.9923	0.000
1004	1165	14	0.9917	0.001
1029	1386	14	0.994	-0.000
1168	1645	14	0.9908	-0.001
739	740	14	0.9906	0.000
739	1004	14	0.9933	0.000
726	1035	14	0.9915	0.001
726	1126	14	0.9913	0.000
1004	1386	14	0.9932	0.000
655	1924	16	0.9903	-0.001
666	912	16	0.9907	-0.001
651	832	16	0.9918	0.000
828	917	16	0.9895	-0.000
666	685	16	0.9923	-0.000
663	685	16	0.9956	-0.000
837	1021	16	0.9957	0.001
654	1416	16	0.9959	0.000
655	832	16	0.9938	-0.000
651	661	16	0.9923	0.001
647	832	16	0.9907	-0.000
652	837	16	0.9988	-0.000
653	917	16	0.9917	0.000
647	656	16	0.9887	-0.000
656	1021	16	0.9911	0.001
654	661	16	0.9943	0.000
652	677	16	0.9931	-0.000
654	917	16	0.9931	0.000
832	837	16	0.9925	-0.000
661	917	16	0.9928	0.000
824	1021	16	0.9898	0.001
835	1924	16	0.9866	-0.000
651	917	16	0.9911	0.001
837	908	16	0.9926	-0.000
651	653	16	0.9933	0.000
655	1416	16	0.9916	0.000
647	1925	16	0.9915	0.000
653	913	16	0.9956	0.000
917	1924	16	0.9902	-0.001
824	913	16	0.995	0.000
666	830	16	0.9877	-0.001
677	837	16	0.9938	0.000
655	913	16	0.9924	-0.000
651	1020	16	0.9912	0.001
661	912	16	0.9925	-0.000
917	1416	16	0.9901	0.000
913	1021	16	0.9926	0.000
656	832	16	0.9899	0.000
656	911	16	0.9979	0.000
685	912	16	0.9911	-0.000
913	1416	16	0.9925	0.000
824	832	16	0.993	0.000
664	665	16	0.9919	0.000
911	1925	16	0.9878	0.000
666	681	16	0.9893	-0.001
664	824	16	0.9912	-0.000
654	1925	16	0.9875	0.000
837	913	16	0.9951	0.000
652	663	16	0.9913	0.000
828	912	16	0.9963	-0.000
